APPLICATION_NAME,RESOLUTION_CODE,RESOLUTION,TICKET_NO,OPEN_DATE,END_STATE_DATE_NEXT_BUSINESS_DATE,CLOSED_DATE,PRIORITY,RESPOND_SLA,ASSIGNEE_NAME,BRIEF_DESCRIPTION,DURATION,WORKNOTE,PRODUCT_TYPE,TYPE,APPLICATION_NAME_MASKED,ASSIGNEE_NAME_MASKED
Patient Insights,,,RITM0158660,2026-01-07 11:28,,2026-01-12 7:08,2 - High,,BABUS32,Patient Insights | Gitterman Abraham | FRM dashboard access issue,,"2026-01-12 07:07:45 - Shridi Babu (Additional comments)
1/12: A separate ticket will be raised to track the user access to OSOT and OPSA.
Additionally, user requested access to three more users

From: Gitterman, Abraham <Abraham.Gitterman@pfizer.com> 
Sent: Friday, January 9, 2026 9:54 PM
To: Samiayyan, Shan <Shan.Samiayyan@Pfizer.com>; Wang, Eric <Eric.Wang2@pfizer.com>; Babu, Shridi (Non-Employee) <Shridi.Babu@pfizer.com>; DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Cc: Peng, Robert <XiaoJiang.Peng@pfizer.com>; Gundanna, Punya (Non-Employee) <Punya.Gundanna@pfizer.com>; DL-PASS-Tableau-Admin <DL-PASS-Tableau-Admin@pfizer.com>; Karuppiah, Rahul Dinesh Ganapathy (Non-Employee) <RahulDinesh.G.Karuppiah@pfizer.com>; Ponraj, Rajeshkanna (Non-Employee) <Rajeshkanna.Ponraj@pfizer.com>
Subject: RE: Abraham Gitterman access

Ty!, if you can add me and Alison Page, Jenny Macauley, and Evan Neadle that would be great.  

From: Samiayyan, Shan <Shan.Samiayyan@Pfizer.com> 
Sent: Friday, January 9, 2026 11:13 AM
To: Wang, Eric <Eric.Wang2@pfizer.com>; Gitterman, Abraham <Abraham.Gitterman@pfizer.com>; Babu, Shridi (Non-Employee) <Shridi.Babu@pfizer.com>; DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Cc: Peng, Robert <XiaoJiang.Peng@pfizer.com>; Gundanna, Punya (Non-Employee) <Punya.Gundanna@pfizer.com>; DL-PASS-Tableau-Admin <DL-PASS-Tableau-Admin@pfizer.com>; Karuppiah, Rahul Dinesh Ganapathy (Non-Employee) <RahulDinesh.G.Karuppiah@pfizer.com>; Ponraj, Rajeshkanna (Non-Employee) <Rajeshkanna.Ponraj@pfizer.com>
Subject: Re: Abraham Gitterman access

Hi Eric,

These are groups have access and legal team was not part of the original requirements. We can add and grant access to the group. 

 
@DL-PatientInsightsSupport Please create a ticket to grant access to the legal security group and route it for approval.

Thanks
Shan Samiayyan | Pfizer Digital - C4 PSS Patient Insights
 
From: Wang, Eric <Eric.Wang2@pfizer.com>
Date: Friday, January 9",,,App_001,User_001
Patient Insights,,,RITM0164775,2026-01-12 7:13,,2026-01-29 23:01,4 - Low,,BABUS32,"Patient Insights | Access to OPSA, OSOT, FRM dashboards",,"2026-01-29 22:59:48 - Punya Gundanna (Additional comments)
Request - Patient Insights | Access to OPSA and OSOT

RCA - To provide access to OPSA and OSOT dashboards to below four users.

Gitterman, Abraham	GITTEA01	
Macauley, Jennifer	MACAUJ01	
Neadel, Evan Scott	NEADEE	
Page, Alison J	               PAGEA05

Resolution - We worked to add the users to relevant security groups , data level access . Reached out to user for access verification.

Proceeding with the closure of this ticket.

2026-01-27 07:22:36 - Abraham Gitterman (Additional comments)
reply from: Abraham.Gitterman@pfizer.com

Confirmed, tysm!!!

2026-01-27 07:17:08 - Punya Gundanna (Additional comments)
Pending customer. Access provisioned. Waiting for closure approval from the users.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, January 27, 2026 5:33 PM
To: Gitterman, Abraham <Abraham.Gitterman@pfizer.com>; Macauley, Jennifer <Jennifer.Macauley@pfizer.com>; Neadel, Evan Scott <Evan.Neadel@pfizer.com>; Page, Alison J <alison.page@pfizer.com>
Cc: Peng, Robert <XiaoJiang.Peng@pfizer.com>; DL-PASS-Tableau-Admin <DL-PASS-Tableau-Admin@pfizer.com>; Karuppiah, Rahul Dinesh Ganapathy (Contractor) <RahulDinesh.G.Karuppiah@pfizer.com>; Ponraj, Rajeshkanna (Contractor) <Rajeshkanna.Ponraj@pfizer.com>; Samiayyan, Shan <Shan.Samiayyan@Pfizer.com>; Wang, Eric <Eric.Wang2@pfizer.com>; DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Subject: RE: Abraham Gitterman access

Hi All,

Following up with the below request,

Could you please validate your access and let us know if everything looks good?

Please feel free to reach out to us if in case of any concerns/queries.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com
 


2026-01-27 07:17:08 - Punya Gundanna (Additional comments)
Pending customer. Access provisioned. Waiting for closure approval from the users.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, January 27, 2026 5:33 PM
To: Gi",,,App_001,User_001
Patient Insights,,,RITM0151157,2026-01-02 3:38,,2026-02-05 11:36,4 - Low,,DURGAA02,Patient Insights | Provide access to new support team member Bhargavi for all the tools in Patient Insights application,,"2026-01-27 06:24:05 - Akhil Durgam (Additional comments)
Pending approval from Robert for UNIX security groups.

2026-01-23 02:34:02 - Akhil Durgam (Additional comments)
We are pending with UNIX access. we have raised a new request for UNIX access. We have reached out to Robert for approval.

2026-01-19 02:36:50 - Akhil Durgam (Additional comments)
From: Durgam, Akhil (Non-Employee) 
Sent: Monday, January 19, 2026 1:06 PM
To: Kumar Paramasivam, Manoj (Non-Employee) <Manoj.KumarParamasivam@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Suresh, Bhargavi (Non-Employee) <Bhargavi.Suresh@pfizer.com>
Subject: RE: Patient Insights | RITM0151157 | Access to Bhargavi for Patient Insights Application

Hi Manoj,
 
Regarding Bhargavi’s access request, it appears that Shan has denied certain requests in the Request Manager.
 
Could you please review this and advise on the next steps to proceed?
 
Regards,
Akhil

2026-01-14 05:48:58 - Akhil Durgam (Additional comments)
From: Durgam, Akhil (Non-Employee) 
Sent: Wednesday, January 14, 2026 4:18 PM
To: Suresh, Bhargavi (Non-Employee) Bhargavi.Suresh@pfizer.com
Cc: DL-PatientInsightsSupport DL-PatientInsightsSupport@pfizer.com; Kumar Paramasivam, Manoj (Non-Employee) Manoj.KumarParamasivam@pfizer.com
Subject: Patient Insights | RITM0151157 | Access to Bhargavi for Patient Insights Application

Hi Bhargavi,

Please find the updates regarding your access request(RITM0151157) to Patient Insights Application.

We have completed providing access to below platforms:

•	IICS
•	Snowflake
•	Patient Point (webapp)
•	Patient Insights Support DL
•	Service Now
•	Share point access
•	Tableau

Pending items:

•	GitHub access – User has access to GITHUB but unable to see Patient Insights repositories, Checking with GitHub team.
•	S3 buckets – A set of requests raised in request manager, but two among them were denied by Shan.
•	UNIX - A set of requests raised in request manager, but two among them were denied by Sh",,,App_001,User_002
Patient Insights,Resolved by change,"PROBLEM: Unable to delete mentioned invoice in Patient Point
RCA: Invoice number incorrectly entered in date format. Since date cannot be passed as parameter in api end point, backend api was failing, causing page loading issue in the UI interface 
SOLUTION STEPS: Executed delete script in backend. 
Customer verified and provided approval for the ticket closure.",INC04807992,2026-03-11 11:07,2026-03-12 11:30,2026-03-24 12:07,4 - Low,MISSED,BABUS32,Patient Insights | Data Issue | Unable to delete invoice,13 Hours 47 Minutes,"2026-03-17 11:08:23 - Shridi Babu (Work notes)
From: Trought, Allison <Allison.Trought@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:37 PM
To: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Shridi,

Thanks. I can see the update. This is approved. 

Thank You,

Allison Trought


2026-03-17 11:02:28 - Shridi Babu (Additional comments)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:30 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Allison,

Please be informed that we have deleted the invoice 11/18/2025 for Accredo 4893.

Patient point PROD: http://patientinsightsdm.pfizer.com/

 

Kindly verify and provide us approval for the ticket closure.

Thanks,
Shridi


2026-03-17 11:01:55 - Shridi Babu (Work notes)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:30 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Allison,

Please be informed that we have deleted the invoice 11/18/2025 for Accredo 4893.

Patient point PROD: http://patientinsightsdm.pfizer.com/

 

Kindly verify and provide us approval for the ticket closure.

Thanks,
Shridi


2026-03-17 07:21:30 - Shridi Babu (Work notes)
3/17: Got Approval from Genuine, working with PASS team to execute delete script

2026-03-16 10:16:25 - Shridi Babu (Work notes)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Monda",,,App_001,User_001
Patient Insights,Resolved by change,"PROBLEM: Unable to delete mentioned invoice in Patient Point
RCA: Invoice number incorrectly entered in date format. Since date cannot be passed as parameter in api end point, backend api was failing, causing page loading issue in the UI interface 
SOLUTION STEPS: Executed delete script in backend. 
Customer verified and provided approval for the ticket closure.",INC04807992,2026-03-11 11:07,2026-03-13 17:43,2026-03-24 12:07,4 - Low,MISSED,BABUS32,Patient Insights | Data Issue | Unable to delete invoice,1 Day 7 Hours 18 Minutes,"2026-03-17 11:08:23 - Shridi Babu (Work notes)
From: Trought, Allison <Allison.Trought@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:37 PM
To: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Shridi,

Thanks. I can see the update. This is approved. 

Thank You,

Allison Trought


2026-03-17 11:02:28 - Shridi Babu (Additional comments)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:30 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Allison,

Please be informed that we have deleted the invoice 11/18/2025 for Accredo 4893.

Patient point PROD: http://patientinsightsdm.pfizer.com/

 

Kindly verify and provide us approval for the ticket closure.

Thanks,
Shridi


2026-03-17 11:01:55 - Shridi Babu (Work notes)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Tuesday, March 17, 2026 8:30 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; Shaji, Genuine <Genuine.Shaji@pfizer.com>
Subject: RE: Patient Insights | INC04807992 | Unable to delete invoice in Patient Point

Hi Allison,

Please be informed that we have deleted the invoice 11/18/2025 for Accredo 4893.

Patient point PROD: http://patientinsightsdm.pfizer.com/

 

Kindly verify and provide us approval for the ticket closure.

Thanks,
Shridi


2026-03-17 07:21:30 - Shridi Babu (Work notes)
3/17: Got Approval from Genuine, working with PASS team to execute delete script

2026-03-16 10:16:25 - Shridi Babu (Work notes)
From: Babu, Shridi (Contractor) <Shridi.Babu@pfizer.com> 
Sent: Monda",,,App_001,User_001
Patient Insights,Solution provided,"Incident - Please investigate why the CVS calls for Braftovi are coming in as unmapped. Mapping table has been updated. Codes are BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3

RCA - The unmapped alert codes were being observed for CVS Braftovi account and brand combination as the contract 4857 had been expired in production CHAMP/Patient Point.

Resolution - We analyzed the issue and reached out to the business notifying about the contract expiration details , business updated the contract in the SPIF mapping . The CHAMP was triggered as per the schedule in production. Upon refresh , the alerts were dismissed.

Proceeding with the closure of the incident ticket.",INC05140844,2026-03-20 11:02,2026-03-23 11:30,2026-04-01 4:02,3 - Moderate,MADE,GUNDAP04,Patient Insights| Data Issue | CVS BRAFTOVI Unmapped Alert Code Issue,2 Days 13 Hours 46 Minutes,"2026-03-25 03:25:38 - Punya Gundanna (Work notes)
RE Patient Insights  INC05140844  CVS BRAFTOVI Unmapped Alert Code Analysis.msg has been attached to INC05140844

2026-03-24 08:08:50 - Punya Gundanna (Additional comments)
Analysis Completed and shared the document with business for their feedback and review.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, March 24, 2026 5:32 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Subject: Patient Insights | INC05140844 | CVS BRAFTOVI Unmapped Alert Code Analysis

Hi Allison,

We have completed our analysis on the reported incident INC05140844 - To investigate why the CVS calls for Braftovi are coming in as unmapped for the mapped codes BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3.

Please be informed that the contract 4857 for the account - CVS Specialty , brand -Braftovi , service - Adherence Call is expired . Could you please confirm if the contract 4857 has been integrated under any other service?

Attaching the analysis document for your review .Kindly let us know if in case of any concerns/queries.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com

2026-03-24 08:08:50 - Punya Gundanna (Work notes)
Analysis Completed and shared the document with business for their feedback and review.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, March 24, 2026 5:32 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Subject: Patient Insights | INC05140844 | CVS BRAFTOVI Unmapped Alert Code Analysis

Hi Allison,

We have completed our analysis on the reported incident INC05140844 - To investigate why the CVS calls for Braftovi are coming in as unmapped for the mapped codes BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3.

Please be informed that the contract 4857 for the account - CVS Specialty , brand -Braftovi , service",,,App_001,User_003
Patient Insights,Solution provided,"Incident - Please investigate why the CVS calls for Braftovi are coming in as unmapped. Mapping table has been updated. Codes are BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3

RCA - The unmapped alert codes were being observed for CVS Braftovi account and brand combination as the contract 4857 had been expired in production CHAMP/Patient Point.

Resolution - We analyzed the issue and reached out to the business notifying about the contract expiration details , business updated the contract in the SPIF mapping . The CHAMP was triggered as per the schedule in production. Upon refresh , the alerts were dismissed.

Proceeding with the closure of the incident ticket.",INC05140844,2026-03-20 11:02,2026-03-24 17:38,2026-04-01 4:02,3 - Moderate,MADE,GUNDAP04,Patient Insights| Data Issue | CVS BRAFTOVI Unmapped Alert Code Issue,1 Day 7 Hours 19 Minutes,"2026-03-25 03:25:38 - Punya Gundanna (Work notes)
RE Patient Insights  INC05140844  CVS BRAFTOVI Unmapped Alert Code Analysis.msg has been attached to INC05140844

2026-03-24 08:08:50 - Punya Gundanna (Additional comments)
Analysis Completed and shared the document with business for their feedback and review.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, March 24, 2026 5:32 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Subject: Patient Insights | INC05140844 | CVS BRAFTOVI Unmapped Alert Code Analysis

Hi Allison,

We have completed our analysis on the reported incident INC05140844 - To investigate why the CVS calls for Braftovi are coming in as unmapped for the mapped codes BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3.

Please be informed that the contract 4857 for the account - CVS Specialty , brand -Braftovi , service - Adherence Call is expired . Could you please confirm if the contract 4857 has been integrated under any other service?

Attaching the analysis document for your review .Kindly let us know if in case of any concerns/queries.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com

2026-03-24 08:08:50 - Punya Gundanna (Work notes)
Analysis Completed and shared the document with business for their feedback and review.

From: Gundanna, Punya (Contractor) 
Sent: Tuesday, March 24, 2026 5:32 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>
Subject: Patient Insights | INC05140844 | CVS BRAFTOVI Unmapped Alert Code Analysis

Hi Allison,

We have completed our analysis on the reported incident INC05140844 - To investigate why the CVS calls for Braftovi are coming in as unmapped for the mapped codes BRCRC2, BRCRC3, BRMEL2, BRMEL3, BRNSCLC2, BRNSCLC3.

Please be informed that the contract 4857 for the account - CVS Specialty , brand -Braftovi , service",,,App_001,User_003
Patient Insights,Solution provided,"Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.",INC03584425,2026-02-03 8:02,2026-02-04 11:30,2026-02-16 6:12,3 - Moderate,MISSED,GUNDAP04,Patient Insights - System Performance or Failure,49 Minutes,"2026-02-09 05:04:28 - Punya Gundanna (Work notes)
Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.

2026-02-05 07:52:03 - Punya Gundanna (Additional comments)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details.

2026-02-05 07:52:03 - Punya Gundanna (Work notes)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details. 

From: Gundanna, Punya (Contractor) 
Sent: Thursday, February 5, 2026 6:09 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; SK, Ramya (Contractor) <Ramya.SK@pfizer.com>
Subject: RE: Incident INC03584425 [1 - Critical] - Champ - GBL-C4 MARM PATIENT INSIGHTS SUPPORT

Hi Allison,

As part of the below issue reported , there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

After which when monitored , we confirm that the tableau refresh is working fine in production.

Kindly let us know if we have your approval to proceed with closure.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com

2026-02-04 23:29:03 - Punya Gundanna (Work notes)
Issue resolved.

From: Siripuram, Harshavardhana",,,App_001,User_003
Patient Insights,Solution provided,"Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.",INC03584425,2026-02-03 8:02,2026-02-09 15:34,2026-02-16 6:12,3 - Moderate,MISSED,GUNDAP04,Patient Insights - System Performance or Failure,5 Days 16 Hours 55 Minutes,"2026-02-09 05:04:28 - Punya Gundanna (Work notes)
Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.

2026-02-05 07:52:03 - Punya Gundanna (Additional comments)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details.

2026-02-05 07:52:03 - Punya Gundanna (Work notes)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details. 

From: Gundanna, Punya (Contractor) 
Sent: Thursday, February 5, 2026 6:09 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; SK, Ramya (Contractor) <Ramya.SK@pfizer.com>
Subject: RE: Incident INC03584425 [1 - Critical] - Champ - GBL-C4 MARM PATIENT INSIGHTS SUPPORT

Hi Allison,

As part of the below issue reported , there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

After which when monitored , we confirm that the tableau refresh is working fine in production.

Kindly let us know if we have your approval to proceed with closure.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com

2026-02-04 23:29:03 - Punya Gundanna (Work notes)
Issue resolved.

From: Siripuram, Harshavardhana",,,App_001,User_003
Patient Insights,Solution provided,"Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.",INC03584425,2026-02-03 8:02,2026-02-16 16:42,2026-02-16 6:12,3 - Moderate,MISSED,GUNDAP04,Patient Insights - System Performance or Failure,7 Days 1 Hour 8 Minutes,"2026-02-09 05:04:28 - Punya Gundanna (Work notes)
Issue - Business Reported that the CHAMP dashboard has was not refreshed on 2/2.

RCA - there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

Resolution - Worked with PASS team to resolve the tableau refresh issue. The dashboard is up with the latest data in production.

2026-02-05 07:52:03 - Punya Gundanna (Additional comments)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details.

2026-02-05 07:52:03 - Punya Gundanna (Work notes)
Business reported that the CHAMP dashboard refresh failed for 2/2. After working with PASS platform team , we could understand that there was a data connection / tableau server issues and hence the tableau refresh failed on 2/2. The issue has been resolved , we have reached out to Allison with all the details. 

From: Gundanna, Punya (Contractor) 
Sent: Thursday, February 5, 2026 6:09 PM
To: Trought, Allison <Allison.Trought@pfizer.com>
Cc: DL-PatientInsightsSupport <DL-PatientInsightsSupport@pfizer.com>; SK, Ramya (Contractor) <Ramya.SK@pfizer.com>
Subject: RE: Incident INC03584425 [1 - Critical] - Champ - GBL-C4 MARM PATIENT INSIGHTS SUPPORT

Hi Allison,

As part of the below issue reported , there was a data connection failure on the tableau server and hence the tableau refresh failed for the CHAMP on 2/2.

After which when monitored , we confirm that the tableau refresh is working fine in production.

Kindly let us know if we have your approval to proceed with closure.

Thanks & Regards,
Punya Gundanna
Patient Insights
Pfizer - Revenue Management
punya.gundanna@pfizer.com

2026-02-04 23:29:03 - Punya Gundanna (Work notes)
Issue resolved.

From: Siripuram, Harshavardhana",,,App_001,User_003
